Month 	AQI 	Scope 	Quality level 	PM2.5 	PM10 	CO 	No 2 	SO2 	O3
2013-12 	100 	23 to 291 	Mild contamination 	73 	97 	1.73 	56 	37 	38
January 2014-01 	125 	26 to 402 	Mild contamination 	94 	123 	1.948 	65 	51 	37
2014-02 	184 	33 to 428 	Moderate pollution 	148 	155 	2.171 	69 	56 	42
2014-03 	130 	35 to 319 	Mild contamination 	94 	138 	1.39 	62 	34 	83
2014-04 	127 	65 to 279 	Mild contamination 	89 	145 	0.927 	57 	16 	129
2014-05 	107 	46 to 205 	Mild contamination 	61 	118 	0.839 	47 	15 	149
2014-06 	116 	50 to 179 	Mild contamination 	54 	74 	0.79 	39 	6 	168
2014-07 	140 	39 to 252 	Mild contamination 	89 	100 	0.939 	39 	6 	170
2014-08 	120 	46 to 200 	Mild contamination 	62 	88 	0.839 	43 	5 	172
2014-09 	99 	43 to 200 	Liang 	65 	88 	0.983 	49 	6 	106
2014-10 	154 	28 to 381 	Moderate pollution 	118 	148 	1.339 	70 	9 	54
2014-11 	117 	29 to 342 	Mild contamination 	86 	127 	1.567 	65 	16 	37
2014-12 	86 	21 to 267 	Liang 	58 	95 	1.552 	53 	28 	42
2015-01 	126 	28 to 378 	Mild contamination 	97 	120 	1.91 	66 	34 	39
2015-02 	127 	36 to 334 	Mild contamination 	93 	114 	1.457 	51 	26 	60
2015-03 	127 	40 to 281 	Mild contamination 	86 	146 	1.194 	53 	20 	87
2015-04 	107 	38 to 212 	Mild contamination 	71 	118 	0.76 	43 	9 	124
2015-05 	105 	42 to 203 	Mild contamination 	55 	97 	0.745 	37 	8 	153
2015-06 	111 	35 to 231 	Mild contamination 	60 	70 	1.303 	35 	6 	156
2015-07 	122 	41 to 200 	Mild contamination 	61 	74 	0.823 	35 	4 	177
2015-08 	104 	37 to 202 	Mild contamination 	45 	66 	0.79 	31 	3 	159
2015-09 	83 	34 to 201 	Liang 	50 	59 	0.837 	43 	5 	109
2015-10 	106 	27 to 344 	Mild contamination 	74 	86 	0.955 	55 	6 	74
2015-11 	153 	37 to 450 	Moderate pollution 	119 	85 	1.983 	62 	12 	25
2015-12 	187 	23 to 485 	Moderate pollution 	152 	172 	2.865 	76 	20 	26
2016-01 	97 	32 to 316 	Liang 	68 	88 	1.584 	53 	20 	42
2016-02 	71 	34 to 238 	Liang 	44 	59 	0.903 	35 	15 	68
2016-03 	132 	37 to 365 	Mild contamination 	93 	136 	1.229 	57 	18 	79
2016-04 	106 	43 to 209 	Mild contamination 	69 	118 	0.803 	44 	10 	116
2016-05 	111 	49 to 234 	Mild contamination 	54 	90 	0.665 	38 	8 	160
2016-06 	126 	50 to 189 	Mild contamination 	59 	70 	0.767 	35 	5 	183
2016-07 	118 	40 to 177 	Mild contamination 	69 	74 	0.916 	33 	3 	159
2016-08 	94 	34 to 179 	Liang 	47 	60 	0.832 	35 	3 	135
2016-09 	86 	0 to 211 	Liang 	55 	73 	0.76 	43 	3 	104
2016-10 	116 	29 to 292 	Mild contamination 	85 	101 	1.155 	56 	4 	47
2016-11 	133 	28 to 315 	Mild contamination 	100 	134 	1.797 	68 	11 	28
2016-12 	168 	54 to 431 	Moderate pollution 	133 	159 	2.51 	80 	17 	28
2017-01 	146 	34 to 470 	Mild contamination 	116 	131 	2.203 	65 	18 	41
2017-02 	100 	36 to 305 	Liang 	71 	84 	1.318 	53 	18 	65
2017-03 	94 	40 to 273 	Liang 	63 	84 	0.913 	50 	11 	86
2017-04 	87 	38 to 174 	Liang 	53 	104 	0.693 	48 	7 	101
2017-05 	134 	53-5 	Mild contamination 	48 	104 	0.674 	37 	7 	161
2017-06 	125 	50 to 200 	Mild contamination 	42 	75 	0.783 	38 	6 	184
2017-07 	118 	38 to 208 	Mild contamination 	52 	71 	0.894 	34 	3 	174
2017-08 	85 	34 to 162 	Liang 	38 	56 	0.803 	35 	3 	131
2017-09 	98 	36 to 189 	Liang 	58 	100 	0.913 	49 	4 	123
2017-10 	84 	25 to 221 	Liang 	57 	63 	0.923 	46 	3 	47
2017-11 	75 	30 to 201 	Liang 	46 	73 	0.903 	49 	5 	44
2017-12 	81 	23 to 254 	Liang 	44 	68 	1.09 	49 	8 	25
2018-01 	64 	28 to 176 	Liang 	34 	65 	0.768 	39 	7 	48
2018-02 	80 	32-218 	Liang 	50 	72 	0.786 	31 	9 	70
2018-03 	115 	0 to 283 	Mild contamination 	82 	104 	1.003 	53 	9 	81
2018-04 	98 	36 to 256 	Liang 	59 	108 	0.673 	38 	6 	115
2018-05 	91 	0 to 169 	Liang 	45 	85 	0.648 	36 	4 	134
2018-06 	111 	44 to 190 	Mild contamination 	43 	67 	0.7 	32 	4 	168
2018-07 	89 	28 to 156 	Liang 	44 	48 	0.787 	24 	3 	135
2018-08 	83 	35 to 152 	Liang 	31 	46 	0.745 	26 	3 	133
2018-09 	60 	30 to 132 	Liang 	28 	45 	0.543 	34 	3 	93
2018-10 	74 	26 to 203 	Liang 	42 	59 	0.668 	45 	4 	70
2018-11 	108 	39 to 270 	Mild contamination 	71 	104 	1.07 	60 	7 	37
2018-12 	71 	0 to 232 	Liang 	38 	73 	0.835 	46 	7 	40
2019-01 	81 	30 to 267 	Liang 	51 	80 	0.997 	50 	9 	44
