Month 	AQI 	Scope 	Quality level 	PM2.5 	PM10 	No 2 	SO2 	CO 	O3
2013-12 	158 	24 to 468 	Moderate pollution 	125 	140 	71 	48 	1.373 	49
January 2014-01 	103 	30 to 238 	Mild contamination 	77 	90 	54 	28 	0.997 	58
2014-02 	74 	27 to 240 	Liang 	52 	59 	36 	17 	0.796 	73
2014-03 	82 	39 to 202 	Liang 	57 	84 	51 	19 	0.787 	100
2014-04 	77 	50 to 187 	Liang 	53 	67 	47 	15 	0.727 	108
2014-05 	96 	53 to 193 	Liang 	63 	99 	42 	17 	0.777 	142
2014-06 	72 	37 to 182 	Liang 	44 	58 	35 	12 	0.72 	118
2014-07 	74 	32-167 	Liang 	45 	63 	31 	12 	0.765 	112
2014-08 	67 	30 to 150 	Liang 	38 	52 	34 	13 	0.768 	112
2014-09 	69 	32-138 	Liang 	35 	52 	32 	13 	0.74 	117
2014-10 	77 	52 to 137 	Liang 	40 	68 	42 	16 	0.781 	119
2014-11 	74 	38 to 182 	Liang 	52 	71 	52 	18 	0.843 	84
2014-12 	99 	39 to 190 	Liang 	72 	113 	68 	36 	1.09 	47
2015-01 	111 	28 to 256 	Mild contamination 	83 	108 	63 	29 	1.09 	56
2015-02 	90 	34 to 222 	Liang 	64 	85 	46 	20 	0.946 	81
2015-03 	81 	37 to 143 	Liang 	54 	66 	48 	15 	0.845 	102
2015-04 	88 	44 to 166 	Liang 	56 	81 	53 	16 	0.79 	122
2015-05 	77 	51 to 117 	Liang 	44 	63 	39 	12 	0.697 	126
2015-06 	80 	43 to 188 	Liang 	43 	57 	35 	11 	0.697 	129
2015-07 	84 	31 to 171 	Liang 	39 	57 	31 	11 	0.658 	134
2015-08 	86 	28 to 181 	Liang 	40 	58 	28 	13 	0.735 	135
2015-09 	79 	35 to 159 	Liang 	34 	49 	32 	13 	0.72 	132
2015-10 	82 	47 to 133 	Liang 	47 	73 	49 	17 	0.816 	127
2015-11 	87 	35 to 179 	Liang 	58 	74 	58 	17 	1.09 	69
2015-12 	117 	53 to 266 	Mild contamination 	82 	104 	67 	25 	1.197 	52
2016-01 	102 	40 to 213 	Mild contamination 	70 	91 	57 	24 	1.045 	69
2016-02 	80 	42 to 178 	Liang 	54 	78 	43 	19 	0.855 	97
2016-03 	80 	45 to 134 	Liang 	52 	76 	49 	17 	0.684 	107
2016-04 	90 	53 to 159 	Liang 	56 	81 	50 	14 	0.737 	126
2016-05 	93 	51 to 163 	Liang 	51 	77 	41 	12 	0.742 	135
2016-06 	79 	43 to 139 	Liang 	40 	54 	36 	10 	0.703 	122
2016-07 	95 	24 to 169 	Liang 	38 	59 	31 	10 	0.752 	143
2016-08 	59 	26 to 135 	Liang 	19 	36 	23 	11 	0.665 	104
2016-09 	68 	23 to 163 	Liang 	32 	45 	34 	12 	0.723 	112
2016-10 	51 	29 to 72 	Liang 	22 	37 	33 	12 	0.632 	87
2016-11 	78 	37 to 144 	Liang 	44 	62 	58 	16 	0.867 	69
2016-12 	94 	38 to 185 	Liang 	58 	77 	65 	19 	1.058 	64
2017-01 	73 	34 to 130 	Liang 	45 	55 	47 	17 	0.945 	74
2017-02 	77 	38 to 154 	Liang 	50 	57 	49 	14 	0.868 	93
2017-03 	71 	47 to 102 	Liang 	44 	58 	50 	12 	0.768 	108
2017-04 	91 	53 to 139 	Liang 	45 	70 	51 	12 	0.83 	133
2017-05 	88 	42 to 161 	Liang 	28 	49 	37 	11 	0.674 	136
2017-06 	83 	46 to 160 	Liang 	38 	42 	35 	9 	0.7 	130
2017-07 	117 	33 to 205 	Mild contamination 	33 	55 	30 	10 	0.706 	177
2017-08 	97 	25 to 193 	Liang 	31 	47 	32 	8 	0.781 	151
2017-09 	74 	44 to 168 	Liang 	26 	42 	36 	9 	0.77 	118
2017-10 	58 	36 to 88 	Liang 	24 	42 	34 	9 	0.732 	101
2017-11 	78 	38 to 130 	Liang 	41 	68 	59 	13 	0.863 	80
2017-12 	97 	48 to 225 	Liang 	54 	75 	69 	15 	1.061 	39
2018-01 	88 	32 to 241 	Liang 	57 	64 	53 	13 	0.89 	57
2018-02 	70 	36 to 163 	Liang 	44 	60 	43 	12 	0.725 	83
2018-03 	65 	38 to 117 	Liang 	39 	48 	42 	11 	0.581 	94
2018-04 	78 	0 to 160 	Liang 	38 	70 	43 	12 	0.593 	121
2018-05 	80 	38 to 132 	Liang 	41 	54 	38 	10 	0.597 	125
2018-06 	80 	38 to 184 	Liang 	32 	38 	29 	9 	0.53 	133
2018-07 	53 	20 to 166 	Liang 	19 	32 	22 	8 	0.442 	90
2018-08 	52 	27 to 125 	Liang 	15 	28 	19 	6 	0.468 	93
2018-09 	71 	26 to 146 	Liang 	24 	39 	34 	7 	0.64 	111
2018-10 	67 	43 to 124 	Liang 	25 	46 	41 	8 	0.545 	110
2018-11 	72 	42 to 163 	Liang 	40 	46 	53 	7 	0.68 	81
2018-12 	66 	36 to 135 	Liang 	36 	50 	50 	8 	0.671 	54
2019-01 	81 	34 to 135 	Liang 	49 	61 	57 	9 	0.826 	60
2019-02 	65 	36 to 160 	Liang 	41 	51 	36 	6 	0.721 	76
2019-03 	80 	46 to 127 	Liang 	51 	65 	52 	7 	0.758 	100
2019-04 	71 	43 to 123 	Liang 	40 	51 	45 	6 	0.697 	106
2019-05 	86 	36 to 202 	Liang 	33 	53 	39 	7 	0.606 	134
2019-06 	72 	36 to 177 	Liang 	29 	31 	28 	5 	0.537 	121
2019-07 	69 	25 to 137 	Liang 	26 	32 	29 	5 	0.503 	117
2019-08 	70 	23 to 181 	Liang 	24 	34 	27 	6 	0.603 	113
2019-09 	63 	28 to 120 	Liang 	21 	32 	33 	6 	0.613 	105
2019-10 	67 	20 to 131 	Liang 	31 	56 	43 	8 	0.626 	98
2019-11 	65 	33 to 110 	Liang 	27 	57 	46 	8 	0.6 	83
2019-12 	81 	34 to 148 	Liang 	50 	52 	63 	9 	0.806 	61
2020-01 	81 	35 to 173 	Liang 	54 	45 	44 	7 	0.848 	67
2020-02 	55 	30 to 104 	Liang 	33 	35 	29 	6 	0.617 	87
2020-03 	57 	37 to 104 	Liang 	27 	39 	33 	6 	0.574 	99
2020-04 	76 	45 to 130 	Liang 	33 	54 	41 	7 	0.597 	127
2020-05 	84 	38 to 157 	Liang 	39 	51 	36 	7 	0.726 	130
2020-06 	68 	30 to 130 	Liang 	30 	31 	33 	6 	0.697 	110
2020-07 	66 	29 to 156 	Liang 	27 	32 	32 	5 	0.61 	105
2020-08 	59 	27 to 115 	Liang 	20 	35 	23 	6 	0.5 	103
2020-09 	72 	33 to 179 	Liang 	25 	38 	40 	6 	0.723 	112
2020-10 	58 	37 to 102 	Liang 	19 	38 	37 	7 	0.59 	97
2020-11 	58 	34 to 115 	Liang 	27 	44 	42 	7 	0.64 	78
2020-12 	81 	34 to 206 	Liang 	47 	53 	55 	7 	0.781 	57
2021-01 	72 	45 to 103 	Liang 	39 	67 	50 	8 	0.694 	59
2021-02 	53 	34 to 98 	Liang 	29 	42 	32 	6 	0.586 	83
2021-03 	66 	38 to 188 	Liang 	33 	47 	40 	5 	0.61 	86
2021-04 	63 	42 to 96 	Liang 	31 	48 	36 	5 	0.577 	99
2021-05 	78 	40 to 138 	Liang 	30 	49 	31 	5 	0.642 	128
2021-06 	57 	29 to 143 	Liang 	22 	28 	28 	5 	0.543 	99
2021-07 	56 	21 to 122 	Liang 	17 	28 	19 	5 	0.494 	99
2021-08 	58 	24-102 	Liang 	17 	28 	22 	5 	0.539 	103
2021-09 	66 	17 to 125 	Liang 	19 	32 	24 	5 	0.633 	114
2021-10 	52 	29 to 115 	Liang 	17 	34 	30 	5 	0.552 	87
2021-11 	66 	34 to 98 	Liang 	32 	55 	49 	6 	0.687 	78
2021-12 	79 	32-133 	Liang 	43 	59 	60 	7 	0.874 	60
2022-01 	68 	35 to 149 	Liang 	42 	45 	43 	5 	0.829 	68
2022-02 	53 	36 to 107 	Liang 	30 	43 	29 	5 	0.6 	87
2022-03 	62 	32-117 	Liang 	29 	54 	32 	6 	0.661 	102
2022-04 	77 	36 to 134 	Liang 	23 	38 	18 	7 	0.717 	130
2022-05 	77 	39 to 137 	Liang 	21 	30 	17 	6 	0.732 	130
2022-06 	71 	30 to 145 	Liang 	20 	30 	19 	4 	0.54 	123
2022-07 	82 	21 to 150 	Liang 	22 	34 	20 	4 	0.59 	134
2022-08 	84 	38 to 131 	Liang 	18 	33 	20 	5 	0.655 	139
2022-09 	56 	21 to 141 	Liang 	16 	32 	22 	5 	0.597 	101
2022-10 	47 	30 to 85 	Excellent 	15 	33 	26 	6 	0.61 	89
2022-11 	50 	27 to 89 	Excellent 	25 	38 	35 	6 	0.72 	73
2022-12 	65 	31 to 105 	Liang 	33 	58 	45 	8 	0.823 	57
2023-01 	62 	28 to 130 	Liang 	37 	58 	36 	8 	0.755 	75
2023-02 	50 	35 to 113 	Liang 	27 	41 	32 	6 	0.668 	80
2023-03 	66 	38 to 102 	Liang 	32 	65 	37 	7 	0.668 	100
2023-04 	81 	45 to 188 	Liang 	33 	83 	29 	7 	0.663 	114
2023-05 	78 	38 to 165 	Liang 	28 	50 	27 	7 	0.584 	129
2023-06 	79 	28 to 146 	Liang 	26 	34 	25 	7 	0.623 	131
2023-07 	64 	18 to 136 	Liang 	18 	29 	20 	6 	0.558 	107
2023-08 	62 	24 to 163 	Liang 	17 	30 	18 	7 	0.603 	107
2023-09 	58 	25 to 112 	Liang 	19 	29 	25 	7 	0.67 	101
2023-10 	64 	41 to 116 	Liang 	24 	41 	34 	7 	0.655 	115
2023-11 	64 	34 to 115 	Liang 	33 	61 	42 	8 	0.743 	83
2023-12 	77 	30 to 202 	Liang 	49 	75 	53 	8 	0.884 	34
2024-01 	85 	33 to 165 	Liang 	57 	81 	53 	8 	0.926 	63
2024-02 	63 	27 to 214 	Liang 	40 	53 	26 	7 	0.766 	80
2024-03 	69 	44 to 102 	Liang 	37 	64 	41 	7 	0.7 	97
2024-04 	59 	38 to 110 	Liang 	27 	43 	31 	7 	0.63 	103
2024-05 	69 	41 to 106 	Liang 	21 	36 	23 	7 	0.561 	121
2024-06 	65 	32-142 	Liang 	20 	24 	24 	7 	0.597 	111
2024-07 	71 	26 to 119 	Liang 	19 	31 	20 	7 	0.542 	120
2024-08 	79 	36 to 165 	Liang 	19 	30 	18 	7 	0.616 	133
2024-09 	46 	20 to 114 	Excellent 	14 	25 	18 	7 	0.57 	83
2024-10 	53 	32-100 	Liang 	20 	31 	27 	7 	0.645 	95
2024-11 	51 	35 to 85 	Liang 	23 	39 	31 	8 	0.6 	81
2024-12 	70 	35 to 137 	Liang 	44 	65 	48 	9 	0.768 	66
2025-01 	68 	32-149 	Liang 	41 	67 	45 	8 	0.723 	79
2025-02 	61 	37 to 134 	Liang 	39 	55 	32 	7 	0.729 	84
2025-03 	63 	33 to 135 	Liang 	28 	48 	36 	7 	0.623 	107
2025-04 	85 	55 to 127 	Liang 	34 	66 	33 	8 	0.657 	138
2025-05 	81 	43 to 124 	Liang 	26 	42 	23 	6 	0.619 	136
2025-06 	73 	23 to 162 	Liang 	18 	27 	20 	6 	0.567 	123
2025-07 	50 	19 to 142 	Excellent 	12 	26 	11 	6 	0.542 	84
2025-08 	67 	32-126 	Liang 	16 	28 	16 	6 	0.594 	118
2025-09 	65 	24-115 	Liang 	15 	27 	19 	6 	0.63 	115
2025-10 	54 	38 to 96 	Liang 	16 	29 	20 	6 	0.584 	98
2025-11 	72 	35 to 152 	Liang 	38 	75 	42 	8 	0.63 	80
2025-12 	61 	32-108 	Liang 	36 	59 	40 	7 	0.623 	70
2026-01 	66 	30 to 160 	Liang 	42 	65 	40 	7 	0.603 	75
2026-02 	65 	34 to 109 	Liang 	41 	60 	27 	6 	0.579 	90
2026-03 	48 	22 to 70 	Excellent 	22 	32 	20 	6 	0.467 	91
