Date/Time	SOI
1866-01	-0.62
1866-02	-0.12
1866-03	-0.62
1866-04	-0.65
1866-05	0.05
1866-06	-0.82
1866-07	-0.41
1866-08	0.36
1866-09	-0.18
1866-10	0.07
1866-11	1.10
1866-12	-0.16
1867-01	0.09
1867-02	-0.01
1867-03	-0.09
1867-04	0.83
1867-05	0.52
1867-06	-0.48
1867-07	0.36
1867-08	0.34
1867-09	0.12
1867-10	-0.56
1867-11	-0.60
1867-12	-0.90
1868-01	-0.16
1868-02	-0.34
1868-03	-1.56
1868-04	0.30
1868-05	-1.22
1868-06	-2.20
1868-07	-0.46
1868-08	-1.41
1868-09	-1.23
1868-10	-1.24
1868-11	-1.44
1868-12	0.51
1869-01	-1.90
1869-02	-0.26
1869-03	-0.59
1869-04	2.12
1869-05	1.33
1869-06	1.53
1869-07	1.32
1869-08	0.94
1869-09	0.12
1869-10	0.85
1869-11	0.55
1869-12	0.41
1870-01	1.06
1870-02	0.18
1870-03	-0.75
1870-04	0.47
1870-05	-0.03
1870-06	-1.10
1870-07	0.10
1870-08	0.98
1870-09	0.00
1870-10	-0.58
1870-11	-0.83
1870-12	-1.30
1871-01	-1.13
1871-02	-0.13
1871-03	-2.00
1871-04	-0.46
1871-05	-0.42
1871-06	0.24
1871-07	0.24
1871-08	0.38
1871-09	0.58
1871-10	-0.14
1871-11	-0.02
1871-12	0.97
1872-01	2.69
1872-02	1.12
1872-03	1.69
1872-04	-0.54
1872-05	1.33
1872-06	2.45
1872-07	2.18
1872-08	0.99
1872-09	3.14
1872-10	1.90
1872-11	3.05
1872-12	2.79
1873-01	2.47
1873-02	1.12
1873-03	1.63
1873-04	2.29
1873-05	1.34
1873-06	-3.09
1873-07	-1.18
1873-08	-0.59
1873-09	-2.13
1873-10	-1.78
1873-11	-0.34
1873-12	1.32
1874-01	0.90
1874-02	-0.28
1874-03	-0.52
1874-04	0.98
1874-05	1.27
1874-06	-1.92
1874-07	-0.21
1874-08	0.75
1874-09	2.03
1874-10	2.19
1874-11	0.54
1874-12	1.26
1875-01	0.65
1875-02	-0.11
1875-03	-1.00
1875-04	1.40
1875-05	0.76
1875-06	2.57
1875-07	-0.55
1875-08	-0.21
1875-09	0.83
1875-10	0.93
1875-11	-1.52
1875-12	-0.55
1876-01	1.16
1876-02	0.98
1876-03	-0.10
1876-04	0.94
1876-05	0.77
1876-06	1.98
1876-07	-0.56
1876-08	1.08
1876-09	0.98
1876-10	-1.00
1876-11	-0.45
1876-12	-0.45
1877-01	-0.88
1877-02	-1.44
1877-03	-1.07
1877-04	-3.87
1877-05	-1.66
1877-06	-4.34
1877-07	-1.00
1877-08	-1.06
1877-09	-1.71
1877-10	-1.70
1877-11	-1.26
1877-12	-1.52
1878-01	-0.98
1878-02	-2.22
1878-03	-1.86
1878-04	-1.07
1878-05	0.11
1878-06	-0.59
1878-07	1.49
1878-08	1.12
1878-09	1.70
1878-10	0.94
1878-11	1.38
1878-12	1.88
1879-01	1.28
1879-02	1.33
1879-03	1.30
1879-04	1.59
1879-05	0.11
1879-06	1.85
1879-07	2.07
1879-08	2.20
1879-09	1.80
1879-10	1.53
1879-11	0.75
1879-12	-0.72
1880-01	1.14
1880-02	0.70
1880-03	1.43
1880-04	0.79
1880-05	1.21
1880-06	0.97
1880-07	0.14
1880-08	1.26
1880-09	0.73
1880-10	0.56
1880-11	0.77
1880-12	-0.34
1881-01	-0.84
1881-02	-0.67
1881-03	0.02
1881-04	0.43
1881-05	-0.53
1881-06	-0.78
1881-07	-0.56
1881-08	-1.39
1881-09	-1.35
1881-10	-2.60
1881-11	0.48
1881-12	0.69
1882-01	-0.76
1882-02	-0.26
1882-03	0.41
1882-04	-0.06
1882-05	0.29
1882-06	-1.75
1882-07	-2.16
1882-08	-2.74
1882-09	-1.44
1882-10	-0.49
1882-11	0.24
1882-12	1.03
1883-01	0.48
1883-02	0.68
1883-03	-2.94
1883-04	1.63
1883-05	1.47
1883-06	0.26
